Date,Open,High,Low,Close,Adj Close,Volume
1/24/2020,29230.39063,29288.78906,28843.31055,28989.73047,28989.73047,380010000
1/27/2020,28542.49023,28671.78906,28440.4707,28535.80078,28535.80078,337270000
1/28/2020,28594.2793,28823.23047,28575.75,28722.84961,28722.84961,330140000
1/29/2020,28820.5293,28944.24023,28728.18945,28734.44922,28734.44922,302290000
1/30/2020,28640.16016,28879.71094,28489.75977,28859.43945,28859.43945,326850000
1/31/2020,28813.03906,28813.03906,28169.5293,28256.0293,28256.0293,403890000
2/3/2020,28319.65039,28630.39063,28319.65039,28399.81055,28399.81055,307910000
2/4/2020,28696.74023,28904.88086,28696.74023,28807.63086,28807.63086,332750000
2/5/2020,29048.73047,29308.89063,29000.84961,29290.84961,29290.84961,357540000
2/6/2020,29388.58008,29408.05078,29246.92969,29379.76953,29379.76953,263700000
2/7/2020,29286.91992,29286.91992,29056.98047,29102.50977,29102.50977,252860000
2/10/2020,28995.66016,29278.07031,28995.66016,29276.82031,29276.82031,250510000
2/11/2020,29390.71094,29415.39063,29210.4707,29276.33984,29276.33984,279540000
2/12/2020,29406.75,29568.57031,29406.75,29551.41992,29551.41992,309530000
2/13/2020,29436.0293,29535.40039,29345.92969,29423.31055,29423.31055,291150000
2/14/2020,29440.4707,29463.03906,29283.17969,29398.08008,29398.08008,231000000
2/18/2020,29282.7793,29330.16016,29116.81055,29232.18945,29232.18945,256600000
2/19/2020,29312.69922,29409.08984,29274.38086,29348.0293,29348.0293,240640000
2/20/2020,29296.25,29368.44922,28959.65039,29219.98047,29219.98047,287780000
2/21/2020,29146.5293,29146.5293,28892.69922,28992.41016,28992.41016,311210000
2/24/2020,28402.92969,28402.92969,27912.43945,27960.80078,27960.80078,452580000
2/25/2020,28037.65039,28149.19922,26997.61914,27081.35938,27081.35938,513270000
2/26/2020,27159.46094,27542.7793,26890.9707,26957.58984,26957.58984,472450000
2/27/2020,26526,26775.31055,25752.82031,25766.64063,25766.64063,664980000
2/28/2020,25270.83008,25494.24023,24681.00977,25409.35938,25409.35938,915990000
